gene
"CDS	10:12349547..12835545	CAMK1D, CKLiK, CaM-K1, CaMKID"
"CDS	10:5524961..5526771	CALML3, CLP"
"CDS	10:87863625..87971930	PTEN, 10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, PTENgama, TEP1"
"CDS	10:complement(5498697..5499570)	CALML5, CLSP"
"CDS	10:complement(73812501..73874555)	CAMK2G, CAMK, CAMK-II, CAMKG, MRD59"
"CDS	11:47214454..47239217	DDB2, DDBB, UV-DDB2, XPE"
"CDS	11:69641156..69654474	CCND1, BCL1, D11S287E, PRAD1, U21B31"
"CDS	11:complement(532242..535576)	HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras"
"CDS	12:68808172..68850686	MDM2, ACTFS, HDMX, LSKB, hdm2"
"CDS	12:complement(102395874..102481839)	IGF1, IGF, IGF-I, IGFI, MGF"
"CDS	12:complement(25205246..25250929)	KRAS, 'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras_2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2"
"CDS	12:complement(57747727..57752310)	CDK4, CMM3, PSK-J3"
"CDS	13:48303751..48481890	RB1, OSRC, PPP1R130, RB, p105-Rb, p110-RB1, pRb, pp110"
"CDS	14:90396502..90408268	CALM1, CALML2, CAM2, CAM3, CAMB, CAMC, CAMI, CAMIII, CPVT4, DD132, LQT14, PHKD, PHKD1, caM"
"CDS	14:complement(104769349..104795748)	AKT1, AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA"
"CDS	14:complement(50117130..50231882)	SOS2, NS9, SOS-2"
"CDS	15:66386912..66491544	MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1"
"CDS	15:98648539..98964530	IGF1R, CD221, IGFIR, IGFR, JTK13"
"CDS	15:complement(48823741..48963919)	SHC4, RaLP, SHCD"
"CDS	15:complement(68190705..68206110)	CALML4, NY-BR-20"
"CDS	16:23835983..24220611	PRKCB, PKC-beta, PKCB, PKCI(2), PKCbeta, PRKCB1, PRKCB2"
"CDS	16:81739041..81962685	PLCG2, APLAID, FCAS3, PLC-IV, PLC-gamma-2"
"CDS	16:complement(30114105..30123220)	MAPK3, ERK-1, ERK1, ERT2, HS44KDAP, HUMKER1A, P44ERK1, P44MAPK, PRKM3, p44-ERK1, p44-MAPK"
"CDS	17:66302613..66810743	PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA"
"CDS	17:complement(75318076..75405678)	GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2"
"CDS	17:complement(7668421..7687490)	TP53, BCC7, BMFS5, LFS1, P53, TRP53"
"CDS	19:18153163..18170532	PIK3R2, MPPH, MPPH1, P85B, p85, p85-BETA, p85beta"
"CDS	19:2476127..2478257	GADD45B, GADD45BETA, MYD118"
"CDS	19:46601074..46610782	CALM3, CALM, CAM1, CAM2, CAMB, CPVT6, CaM, CaMIII, HEL-S-72, LQT16, PHKD, PHKD3"
"CDS	19:48954875..48961798	BAX, BCL2L4"
"CDS	19:53881094..53907652	PRKCG, PKC-gamma, PKCC, PKCG, PKCI(3), PKCgamma, SCA14"
"CDS	19:complement(40230317..40285345)	AKT2, HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA"
"CDS	19:complement(4090321..4124122)	MAP2K2, CFC4, MAPKK2, MEK2, MKK2, PRKMK2"
"CDS	19:complement(416589..461033)	SHC2, SCK, SHCB, SLI"
"CDS	1:1915260..1917296	CALML6, CAGLP"
"CDS	1:209583714..209613939	CAMK1G, CLICK3, CLICKIII, VWS1"
"CDS	1:67685201..67688334	GADD45A, DDIT1, GADD45"
"CDS	1:9627258..9729114	PIK3CD, APDS, IMD14, IMD14A, IMD14B, P110DELTA, PI3K, ROCHIS, p110D"
"CDS	1:complement(11106535..11262551)	MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS"
"CDS	1:complement(114704469..114716771)	NRAS, ALPS4, CMNS, KRAS, N-ras, NCMS, NRAS1, NS6"
"CDS	1:complement(154962298..154974376)	SHC1, SHC, SHCA"
"CDS	1:complement(23505212..23531233)	E2F2, E2F-2"
"CDS	1:complement(243488233..243851079)	AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2"
"CDS	1:complement(46040140..46174901)	PIK3R3, p55, p55-GAMMA, p55PIK"
"CDS	1:complement(46040140..46176488)	P3R3URF-PIK3R3, LOC110117498-PIK3R3"
"CDS	20:41137543..41177626	PLCG1, IDAA, NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1"
"CDS	20:complement(33675477..33686385)	E2F1, E2F-1, RBAP1, RBBP3, RBP3"
"CDS	22:complement(21759657..21867680)	MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK"
"CDS	22:complement(39223359..39244982)	PDGFB, IBGC5, PDGF-2, PDGF2, SIS, SSV, c-sis"
"CDS	2:complement(38981549..39124868)	SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1"
"CDS	2:complement(47160082..47176936)	CALM2, CALM, CALML2, CAM1, CAM3, CAMC, CAMII, CAMIII, LQT15, PHKD, PHKD2, caM"
"CDS	2:complement(70447284..70553826)	TGFA, TFGA"
"CDS	3:179148126..179240093	PIK3CA, CCM4, CLAPO, CLOVE, CWS5, HMH, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha"
"CDS	3:complement(12583601..12664117)	RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf"
"CDS	3:complement(138652698..138834928)	PIK3CB, P110BETA, PI3K, PI3KBETA, PIK3C1"
"CDS	3:complement(9757347..9769947)	CAMK1, CAMKI"
"CDS	4:109912883..110013766	EGF, HOMG4, URG"
"CDS	4:54229293..54298245	PDGFRA, CD140A, PDGFR-2, PDGFR2"
"CDS	4:complement(113451032..113761738)	CAMK2D, CAMKD"
"CDS	5:111223583..111494886	CAMK4, CaMK_IV, CaMK-GR, CaMKIV, caMK"
"CDS	5:68215756..68301821	PIK3R1, AGM7, GRB1, IMD36, p85, p85-ALPHA, p85alpha"
"CDS	5:75510774..75609991	POLK, DINB1, DINP, POLQ"
"CDS	5:complement(150113839..150155845)	PDGFRB, CD140B, IBGC4, IMF1, JTK12, KOGS, OPDKD, PDGFR, PDGFR-1, PDGFR1, PENTT"
"CDS	5:complement(150219491..150290130)	CAMK2A, CAMKA, CaMKIINalpha, CaMKIIalpha, MRD53, MRT63"
"CDS	6:20401879..20493714	E2F3, E2F-3"
"CDS	6:36676463..36687332	CDKN1A, CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1"
"CDS	6:complement(33572552..33580276)	BAK1, BAK, BAK-LIKE, BCL2L7, CDN1"
"CDS	7:55019017..55211628	EGFR, ERBB, ERBB1, ERRP, HER1, NISBD2, NNCIS, PIG61, mENA"
"CDS	7:complement(140713328..140924929)	BRAF, B-RAF1, B-raf, BRAF-1, BRAF1, NS7, RAFB1"
"CDS	7:complement(44217154..44326013)	CAMK2B, CAM2, CAMK2, CAMKB, CaMKIIbeta, MRD54"
"CDS	7:complement(497258..520700)	PDGFA, PDGF-A, PDGF1"
"CDS	7:complement(92604921..92836573)	CDK6, MCPH12, PLSTIRE"
"CDS	9:89605012..89606555	GADD45G, CR6, DDIT2, GADD45gamma, GRP17"
"CDS	9:complement(21967752..21995324)	CDKN2A, ARF, CAI2, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16"
"CDS	9:complement(89005771..89178818)	SHC3, N-Shc, NSHC, RAI, SHCC"
"CDS	X:47561205..47571908	ARAF, A-RAF, ARAF1, PKS2, RAFA1"
